PJME_MW,hour,dayofweek,quarter,month,year,dayofyear,weekofmonth,weekofyear
31136.0,15,4,2,5,2003,136,16,20
31689.0,0,5,3,7,2011,183,2,26
23950.0,5,4,4,10,2011,301,28,43
29428.0,11,4,2,4,2016,113,22,16
28681.0,1,1,1,2,2002,43,12,7
25499.0,6,4,2,4,2014,94,4,14
36619.0,19,4,3,8,2008,242,29,35
36585.0,19,1,1,1,2005,4,4,1
40641.0,13,2,3,7,2017,186,5,27
32756.0,21,3,4,10,2005,293,20,42
30846.0,23,5,3,8,2013,215,3,31
25848.0,3,6,1,3,2010,66,7,9
29781.0,22,4,1,3,2003,80,21,12
28471.0,11,5,4,11,2005,309,5,44
42081.0,10,2,3,7,2015,210,29,31
40898.0,19,1,3,9,2002,246,3,36
38533.0,20,0,1,3,2013,63,4,10
33123.0,9,0,4,10,2006,289,16,42
48147.0,19,1,2,6,2010,180,29,26
21445.0,5,0,4,11,2003,307,3,45
35538.0,15,1,3,9,2008,260,16,38
50564.0,18,4,2,6,2015,163,12,24
30338.0,1,0,2,6,2008,168,16,25
26217.0,15,6,2,5,2007,126,6,18
19634.0,5,5,4,12,2015,360,26,52
28840.0,7,3,2,6,2017,173,22,25
31288.0,15,1,2,4,2008,120,29,18
31694.0,22,0,2,5,2012,142,21,21
29819.0,0,2,1,1,2006,11,11,2
42513.0,20,3,1,2,2014,58,27,9
52408.0,16,4,3,7,2010,190,9,27
30891.0,20,0,2,5,2006,128,8,19
30468.0,21,2,2,5,2016,125,4,18
36463.0,10,1,2,6,2008,169,17,25
32168.0,22,0,4,11,2012,324,19,47
25477.0,0,5,2,5,2013,138,18,20
30195.0,0,3,3,9,2011,251,8,36
35014.0,18,4,3,9,2002,270,27,39
29558.0,5,3,2,6,2005,160,9,23
36371.0,10,3,1,1,2014,16,16,3
28522.0,17,3,2,4,2015,120,30,18
36655.0,12,1,3,9,2002,260,17,38
39907.0,13,4,3,9,2004,247,3,36
26022.0,23,2,4,10,2016,286,12,41
29137.0,16,6,2,4,2004,95,4,14
39620.0,16,3,4,12,2017,362,28,52
33812.0,16,1,3,9,2014,273,30,40
37604.0,7,5,1,1,2015,31,31,5
28956.0,10,6,1,1,2013,20,20,3
30870.0,17,1,2,4,2013,92,2,14
30783.0,17,0,4,11,2012,317,12,46
39057.0,22,6,3,8,2015,214,2,31
43066.0,0,3,3,7,2013,199,18,29
27650.0,7,1,4,11,2002,316,12,46
26911.0,23,6,2,5,2004,151,30,22
49701.0,16,0,3,7,2003,202,21,30
47096.0,14,0,3,7,2014,195,14,29
27094.0,9,4,3,7,2015,184,3,27
31022.0,8,5,1,2,2008,40,9,6
29655.0,11,0,4,10,2015,299,26,44
36130.0,10,3,4,10,2002,276,3,40
33485.0,15,0,3,8,2017,240,28,35
41057.0,17,5,2,6,2017,175,24,25
29903.0,2,1,2,6,2015,167,16,25
35902.0,14,6,3,9,2003,257,14,37
31688.0,10,0,4,11,2004,313,8,46
20812.0,3,2,4,10,2017,277,4,40
36458.0,15,2,4,12,2002,338,4,49
39644.0,20,1,1,1,2011,4,4,1
33917.0,14,4,1,2,2008,39,8,6
26509.0,6,1,2,4,2012,94,3,14
37893.0,19,2,1,2,2007,59,28,9
31371.0,7,0,2,6,2003,181,30,27
24104.0,0,5,3,9,2017,245,2,35
30688.0,1,4,1,1,2014,17,17,3
42019.0,9,2,2,6,2002,177,26,26
28058.0,7,2,3,7,2017,207,26,30
21977.0,5,0,4,10,2005,290,17,42
27315.0,12,5,2,5,2017,133,13,19
28009.0,3,1,1,3,2018,72,13,11
36412.0,17,1,4,12,2004,342,7,50
26137.0,15,6,2,5,2012,127,6,18
24519.0,8,6,3,9,2006,253,10,36
26615.0,15,5,4,11,2012,308,3,44
33729.0,11,6,1,2,2018,35,4,5
27811.0,16,3,4,12,2003,359,25,52
29128.0,1,4,3,8,2015,219,7,32
38303.0,8,3,3,7,2015,211,30,31
30813.0,1,5,1,1,2006,7,7,1
28086.0,0,5,1,2,2012,56,25,8
42152.0,13,0,3,9,2005,262,19,38
31979.0,0,1,1,2,2010,47,16,7
39097.0,18,3,3,8,2004,218,5,32
25293.0,4,6,4,12,2011,338,4,48
51420.0,19,2,3,8,2016,223,10,32
27024.0,3,2,1,3,2002,65,6,10
23148.0,3,3,4,12,2015,351,17,51
34030.0,17,5,2,5,2010,149,29,21
28047.0,22,3,2,4,2018,116,26,17
20996.0,4,0,4,10,2010,277,4,40
30574.0,11,5,4,11,2014,319,15,46
23450.0,5,6,1,1,2005,2,2,53
22311.0,8,6,4,10,2013,293,20,42
32471.0,7,0,1,3,2011,73,14,11
38485.0,12,4,2,6,2016,176,24,25
30863.0,12,2,1,3,2012,81,21,12
24688.0,3,4,3,7,2015,198,17,29
42165.0,18,2,3,7,2014,197,16,29
34504.0,6,1,3,7,2013,197,16,29
20909.0,4,6,2,4,2013,104,14,15
25273.0,3,0,1,3,2016,81,21,12
35762.0,21,2,4,11,2007,311,7,45
29030.0,7,0,3,9,2007,267,24,39
31386.0,18,4,1,3,2002,60,1,9
38563.0,20,0,1,1,2016,25,25,4
33222.0,7,2,1,1,2006,11,11,2
46144.0,16,3,3,7,2004,211,29,31
34878.0,19,1,2,6,2003,161,10,24
33348.0,11,2,2,6,2003,169,18,25
27012.0,7,5,2,6,2013,152,1,22
31722.0,0,3,3,8,2014,233,21,34
42949.0,18,4,4,12,2006,342,8,49
38658.0,23,5,1,1,2010,2,2,53
28732.0,21,5,4,10,2011,274,1,39
34596.0,20,2,3,9,2003,253,10,37
31448.0,12,1,4,11,2009,314,10,46
30562.0,19,1,2,4,2004,118,27,18
29509.0,1,3,3,8,2013,213,1,31
37658.0,10,0,1,3,2008,70,10,11
43100.0,17,4,3,7,2007,194,13,28
32491.0,22,0,2,5,2008,133,12,20
33815.0,23,0,3,9,2011,248,5,36
27604.0,2,6,1,1,2017,15,15,2
26895.0,2,6,1,1,2002,20,20,3
48738.0,12,3,2,6,2002,178,27,26
24700.0,9,6,4,10,2006,274,1,39
31262.0,16,0,1,3,2010,81,22,12
36583.0,12,6,1,1,2010,31,31,4
27555.0,5,3,4,12,2016,343,8,49
33303.0,0,6,3,7,2011,198,17,28
33940.0,6,2,1,2,2010,48,17,7
36575.0,23,0,2,5,2006,149,29,22
33033.0,21,5,1,1,2002,5,5,1
24585.0,7,5,1,3,2017,84,25,12
41714.0,22,0,3,8,2005,220,8,32
28489.0,2,5,3,7,2007,188,7,27
30257.0,8,5,3,8,2016,219,6,31
28816.0,16,5,4,11,2014,319,15,46
36758.0,8,0,1,3,2013,77,18,12
36276.0,8,3,3,7,2010,196,15,28
24167.0,5,0,4,10,2006,289,16,42
24184.0,8,5,4,10,2017,301,28,43
37305.0,10,5,3,7,2008,194,12,28
30413.0,12,6,1,3,2015,88,29,13
28011.0,4,3,1,2,2012,40,9,6
27813.0,5,5,4,12,2008,355,20,51
35650.0,10,2,1,3,2015,84,25,13
24283.0,1,6,1,3,2013,90,31,13
31342.0,13,3,1,3,2010,84,25,12
27703.0,4,2,1,1,2003,8,8,2
26916.0,9,6,2,6,2018,168,17,24
23182.0,3,3,1,3,2010,84,25,12
37008.0,23,6,3,7,2005,212,31,30
30089.0,16,6,1,1,2008,6,6,1
33096.0,14,2,1,2,2002,58,27,9
35459.0,23,5,3,9,2008,257,13,37
28818.0,0,6,3,9,2003,271,28,39
33093.0,7,3,4,12,2016,343,8,49
24456.0,2,4,3,9,2016,267,23,38
26194.0,6,0,2,5,2015,138,18,21
33272.0,15,1,4,10,2007,289,16,42
48450.0,15,3,2,6,2010,154,3,22
30820.0,14,0,1,3,2018,64,5,10
23903.0,8,6,1,2,2017,50,19,7
27765.0,22,6,2,4,2013,104,14,15
30608.0,18,3,2,4,2005,111,21,16
38631.0,13,2,1,2,2018,38,7,6
38595.0,17,4,4,12,2009,352,18,51
33626.0,1,0,3,7,2013,189,8,28
41990.0,18,1,1,1,2009,6,6,2
35940.0,22,0,2,6,2015,159,8,24
29776.0,8,4,4,10,2016,302,28,43
24819.0,2,5,4,11,2003,319,15,46
35952.0,14,1,4,12,2008,344,9,50
29607.0,7,4,1,3,2003,80,21,12
29085.0,23,2,1,3,2002,72,13,11
34013.0,18,4,4,11,2013,312,8,45
36396.0,15,1,1,1,2015,27,27,5
41009.0,11,2,3,9,2015,245,2,36
23260.0,5,4,2,6,2002,158,7,23
36481.0,9,2,3,8,2005,229,17,33
33541.0,19,0,2,4,2009,110,20,17
28826.0,3,5,1,2,2014,46,15,7
30623.0,10,5,1,1,2002,12,12,2
27288.0,5,6,2,6,2008,167,15,24
30314.0,22,4,2,5,2008,137,16,20
36407.0,10,2,1,2,2014,36,5,6
38754.0,17,4,3,9,2009,247,4,36
35301.0,16,1,1,3,2005,60,1,9
28779.0,20,6,4,10,2013,293,20,42
27118.0,5,4,3,7,2007,194,13,28
40539.0,18,1,1,1,2007,30,30,5
32145.0,12,0,1,3,2006,72,13,11
41609.0,9,3,3,8,2002,213,1,31
25635.0,2,1,2,4,2018,93,3,14
31292.0,1,0,2,6,2017,163,12,24
26752.0,23,5,4,10,2013,299,26,43
32303.0,11,0,2,5,2007,134,14,20
22704.0,2,1,2,5,2010,131,11,19
29298.0,21,3,4,11,2017,327,23,47
38837.0,8,4,1,3,2003,66,7,10
35546.0,12,1,2,6,2012,171,19,25
29792.0,7,1,3,8,2003,231,19,34
30288.0,16,4,4,10,2003,290,17,42
35901.0,18,1,2,6,2003,161,10,24
34981.0,8,4,1,1,2016,8,8,1
34056.0,15,5,1,2,2007,34,3,5
28049.0,17,5,2,4,2004,94,3,14
36339.0,20,3,4,11,2003,317,13,46
28306.0,7,4,3,7,2016,183,1,26
34315.0,15,2,1,2,2012,60,29,9
35932.0,10,1,1,1,2004,13,13,3
32158.0,10,0,4,11,2017,324,20,47
31146.0,10,0,2,6,2015,180,29,27
27617.0,0,0,1,1,2017,2,2,1
37231.0,16,4,2,6,2009,170,19,25
50496.0,13,0,3,8,2016,228,15,33
39475.0,10,5,1,1,2004,24,24,4
